num_authors,num_maintainers,num_roles,has_organization,has_license,yanked,has_sdist,has_sig,num_dependencies,has_requires_python,num_releases,days_since_first_release,days_since_last_release,dev_status_level,description_length,num_classifiers,num_project_urls,has_homepage,num_wheel_dists,total_dist_size_kb,package,version,label
1,0,3,0,1,0,1,0,12,1,1565,3874,5,2,0,8,2,1,1,9584,homeassistant,0.72.0b2,1
1,0,3,0,0,0,1,0,26,1,623,7272,31,3,2523,9,2,1,1,3161,setuptools,60.0.3,1
1,0,5,0,1,0,1,0,43,1,224,6191,14,3,15574,14,5,1,1,1812,celery,5.1.1,1
1,0,2,0,1,0,1,0,0,0,200,4532,6,3,2367,11,2,1,1,78,marshmallow,1.2.1,1
1,0,1,1,1,0,1,0,7,1,113,2088,33,0,5053,6,2,1,1,150,django-unicorn,0.31.0,1
1,0,13,1,1,0,1,0,2,1,64,3934,175,0,57,6,1,1,1,148,jupyter-core,4.7.1,1
0,0,2,0,0,0,1,0,3,1,90,2522,30,0,0,0,1,1,1,26,awsiotsdk,1.0.2,1
1,0,1,0,1,0,0,0,2,0,77,2364,53,3,6475,8,2,1,6,3550,nfstream,3.0.1,1
1,0,1,0,1,0,1,0,43,1,291,4290,29,3,91516,18,1,1,1,7189,mayan-edms,3.3.17,1
1,0,1,0,1,0,1,0,54,1,1238,3716,1038,0,0,0,1,1,1,32023,sickrage,9.4.85.dev36,1
1,0,4,0,1,0,1,0,0,0,52,4652,778,1,629,7,2,1,0,8,future,0.0.2,1
1,1,2,1,1,0,1,0,23,1,253,6782,0,3,1909,20,3,1,1,13698,virtualenv,20.7.2,1
1,0,5,1,1,0,1,0,0,1,209,3215,17,3,4061,25,1,1,0,70,dash,1.16.0,1
1,0,2,0,1,0,1,0,0,0,179,3382,1,3,2715,10,1,1,1,25596,pretix,3.6.0.post1,1
1,0,1,0,1,0,1,0,54,1,96,2281,27,0,11948,8,1,1,1,113286,label-studio,1.10.0.post0,1
0,0,2,0,0,0,1,0,0,0,220,2566,69,0,1018,0,0,0,0,53,pytorch-lightning,0.5.3,1
1,0,3,0,1,0,1,0,0,0,181,2933,19,3,4711,8,1,1,0,48,tortoise-orm,0.7.9,1
1,0,2,0,1,0,1,0,27,0,577,2759,37,0,2620,3,2,1,1,135,mindsdb,1.0.1,1
1,0,2,0,1,0,1,0,0,1,577,2759,37,0,12567,2,2,1,0,238,mindsdb,22.7.4.0,1
1,1,2,1,1,0,1,0,9,1,144,1585,703,3,7809,15,3,1,1,131,starlite,1.4.1,1
1,0,2,0,1,0,1,0,0,0,60,5889,164,2,6023,8,2,1,0,11,bleach,1.1.0,1
1,0,2,0,1,0,1,0,25,1,1069,2595,0,3,4152,10,9,1,1,436,strawberry-graphql,0.197.0,1
1,0,1,0,1,0,1,0,24,1,423,900,6,0,9287,0,0,0,1,233,upsonic,0.35.0a1737195981,1
0,0,2,0,0,0,1,0,0,0,73,3164,1032,0,159,1,1,1,0,94,horovod,0.13.6,1
1,0,14,1,1,0,1,0,12,0,104,3923,1,0,2799,8,1,1,1,1234,nbconvert,4.2.0,1
1,1,3,0,1,0,1,0,0,0,71,5553,56,2,4098,17,1,1,0,9090,django-helpdesk,0.3.3,1
1,0,2,0,1,0,1,0,4,1,70,4941,54,3,32793,31,1,1,0,3406,pyinstaller,3.4,1
0,0,1,0,1,0,1,0,24,1,165,3068,21,2,6439,10,7,1,1,409,datasette,0.56.1,1
1,0,4,0,1,0,1,0,0,0,114,5949,9,2,3411,9,2,1,0,12700,pandas,0.7.3,1
1,0,7,0,0,0,1,0,39,1,78,1535,30,3,9737,11,2,1,1,584,nebari,2024.3.3rc1,1
1,1,2,0,1,0,1,0,33,1,500,1147,5,0,5512,9,3,1,1,31374,llama-index,0.9.45.post1,1
1,0,1,0,1,0,0,0,128,1,237,4682,9,3,6586,7,2,1,1,21042,geonode,3.2.2,1
1,0,6,1,1,0,1,0,0,0,108,6201,10,0,23345,6,1,1,0,51,plone-namedfile,4.1,1
1,0,1,0,1,0,1,0,0,1,230,2201,14,0,5723,0,0,0,0,757,chia-blockchain,1.0b3,1
1,0,3,0,1,0,1,0,0,0,109,3717,273,0,630,2,1,1,0,7494,ganga,7.1.4,1
1,0,1,0,1,0,1,0,62,1,1238,3716,1038,0,0,0,1,1,1,27865,sickrage,9.4.194.dev4,1
1,0,4,0,1,0,1,0,0,0,114,5543,1435,0,22385,8,2,1,0,411,kotti,0.9b1,1
1,0,1,0,1,0,1,0,0,0,79,4279,82,3,976,14,1,1,1,111,pydash,3.1.0,1
1,0,1,0,1,0,1,0,0,0,755,4871,10,3,3363,15,2,1,0,20415,tendenci,5.1.336,1
1,0,0,1,1,0,1,0,1297,1,282,3257,2,3,28485,12,8,1,1,9973,apache-airflow,2.3.4,1
1,0,1,0,1,0,1,0,0,0,10,3691,1435,3,2188,7,2,1,0,13,modoboa-dmarc,0.1.1,1
